place,place_name
1114,서남물재생센터 버스정류장
1115,등촌역 1번출구옆
1117,스타벅스앞
1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔)
1119,염창동 한마음아파트앞(염창동 빛나는 음악학원앞)
1120,대림경동아파트앞
1121,가양레포츠센터앞
1122,황금내근린공원
1124,발산역 6번출구옆(다이소앞)
1125,명덕고교입구(영종빌딩)
1126,우장산역 1번출구옆(우장산아이파크105동앞)
1127,화곡역(에이스정형외과앞) 버스정류장
1128,화곡역 6번출구
1129,화곡역 1번 출구 앞
1130,화곡본동시장 버스정류장
1131,꿈돌이공원 앞
1132,등촌역 7번출구
1135,강서구의회
1136,등촌2파출소
1137,등촌2동주민센터
1139,용문사 버스정류장
1140,목동사거리 버스정류장
1141,곰달래 문화복지센터 1-1
1145,곰달래 문화복지센터 1-2
1146,곰달래사거리
1148,볏골공원
1149,신방화역환승주차장
1150,송정역 1번출구
1151,마곡역1번출구
1152,마곡역교차로
1153,"발산역 1번, 9번 인근 대여소"
1155,기쁜우리복지관
1157,강서구청
1158,가양역 8번출구
1159,서서울모터리움앞
1160,양천향교역 7번출구앞
1161,강서면허시험장앞
1162,공항초등학교건너편
1163,방화동강서기동대앞
1165,마곡중학교 후문
1166,강서구립등빛도서관
1167,마곡수명산파크3단지 교차로
1168,마곡엠밸리10단지 앞
1169,염창역 1번 출구
1170,강서구보건소 (삼성디지털 프라자)
1171,염창동 새마을금고 건너편 (모닝글로리)
1172,가양3동 주민센터
1173,강서구청사거리(SH타워)
1174,강서구청사거리(부민병원)
1175,대한항공 인력개발센터
1177,수명중?고교
1178,개화산역 2번 출구
1180,마곡엠밸리 15단지(1502동) 건너편
1181,농수산식품공사 (강서지사)
1182,KBS 스포츠월드
1183,KC 대학교
1184,마곡13단지
1185,등촌9단지
1186,송정중학교
1187,강서수산물도매시장
1188,롯데중앙연구소
1190,마곡역 교차로(2번출구)
1191,마곡역 교차로(NH농협)
1192,마곡수명산파크 209동 건너편
1193,마곡센트럴타워 1차
1194,센서텍㈜
1195,코오롱One&Only타워
1196,서울식물원(문화센터) 건너편
1197,엘펠리체 호텔 건너편
1198,LG 사이언스파크
1199,우장산역 3번출구
1200,개화광역환승센터
1201,가락시장역 3번 출구
1203,밀리아나2빌딩 앞
1204,거여역 3번출구
1205,종합운동장역 4번출구
1206,9호선종합운동장역 9번출구
1207,마천CU우방점 앞
1208,풍납현대아파트쉼터
1209,잠실나루역 (2번 출구 쪽)
1210,롯데월드타워(잠실역2번출구 쪽)
1211,방이삼거리
1212,송파역 2번 출구앞
1213,백토공원 앞
1214,오금역 7번 출구 인근
1215,올림픽공원역 1번출구 앞
1217,송파파인타운 7단지
1218,방이역 4번출구
1220,잠실본동주민센터뒤 잠실근린공원
1221,삼전사거리 포스코더샵
1222,잠실새내역 5번 출구 뒤
1224,아시아지하보도 2번 출구
1226,잠실4동 주민센터 옆
1227,거여역 8번출구 뒤
1228,마천사거리
1229,송파체육문화회관 앞
1230,송파중학교 정문
1231,잠실역 6번출구
1232,롯데마트 주차장 옆
1233,잠실3거리(갤러리아팰리스)
1235,잠실트리지움310동 옆
1239,문정 법조단지3
1240,문정 법조단지4
1241,문정 법조단지5
1242,문정 법조단지6
1243,문정 법조단지7
1244,문정 법조단지8
1245,문정 법조단지9
1246,문정 법조단지10
1247,문정 법조단지11
1248,방이초등학교
1249,아주중학교건너편
1250,문정2동 주민센터
1251,석촌역 2번출구
1253,오금역 3번 출구 뒤
1256,문정현대아파트 교차로
1257,가락시장역 롯데마트앞
1258,가락미륭아파트 앞
1259,방이역 1번출구
1260,방이동 한양3차아파트 옆
1262,송파여성문화회관 앞
1263,장지공영차고지
1264,천호역 10번 출구 앞
1265,문정동 근린공원
1266,문정동 글샘 공원
1267,올림픽공원 남2문 앞
1268,몽촌토성역 1번출구 옆
1269,리센츠아파트
1271,송파도서관
1274,영파여고 앞
1275,거여초등학교 옆
1277,오금동 송파 참병원
1278,송파구청 교차로
1279,마천금호어울림 1차아파트 건너편
1280,송파파크데일 2단지입구 앞 주차장
1282,송파소방서 맞은편(성내4교)
1283,오금공원 사거리
1285,위례별 유치원 뒤
1286,위례중앙푸르지오 1단지 앞
1287,위례아이파크 101동 맞은편
1288,문정중교 사거리
1289,풍납동 자전거보관소
1290,위례송파꿈에그린아파트24단지 앞 성벽 다리 밑
1291,서울체육고등학교 앞
1293,석촌호교차로 (스타벅스 앞)
1295,잠실역 8번출구
1296,석촌호수교차로 (송파나루근린공원 앞)
1297,석촌호수교차로(동호 팔각정 앞)
1299,송파소방서 (방이119안전센터)
1300,오륜사거리
1302,한성대입구역6번출구 뒤
1303,돈암초교 입구
1304,만해공원
1305,성북구청
1306,한성대입구역2번출구
1308,안암로터리 버스정류장 앞
1313,정릉교회 앞
1314,정릉꿈에그린1단지 201동 앞
1315,고려사대부속중고 정문
1316,고려사대부속중고 건너편
1318,길음역 3번출구 뒤
1319,종암사거리 분수대
1320,LG베스트샵 종암점
1321,국민은행 종암동지점 앞
1322,래미안라센트아파트 103동 앞
1323,월곡역 입구 육교 밑
1325,상월곡역 4번출구
1326,상월곡역 1번출구
1327,상월곡역 3번출구
1328,월곡역 3번출구
1332,석계역 5번출구 건너편
1333,석관초등학교 앞
1334,석관동주민센터 앞
1336,성북3교 위
1337,돈암성당 옆
1338,용문2교 옆
1339,삼성전자서비스 성북센터
1340,광운초등학교 앞
1342,성북쉼터 앞
1343,한성대7번출구 앞
1344,아리랑시네센터 앞
1346,길음8골어린이공원 옆
1347,길음래미안아파트817동 상가 앞
1348,성북제일새마을금고 본점 앞
1349,월계2교 버스정류장 앞
1351,안암2교 옆
1352,e 편한세상 보문아파트 내
1353,금호어울림센터힐 내
1354,고려대학교 2번출구
1355,보문2교
1357,북한산보국문역
1358,정릉도서관 앞
1359,장위뉴타운 꿈에 숲 코오롱 하늘채 앞
1360,정릉역
1361,홍익중고 입구
1362,보문역6번출구 앞
1363,보문4교 인근
1364,성북동 치안센터 앞
1365,선잠단지 앞
1366,일신초등학교 옆
1367,길음문화복합미디어센터
1368,성신여대입구 교차로
1369,미아사거리
1370,복자사랑 피정의 집
1372,KEB은행 고대점
1373,성북구보건소 건너편
1375,생명의 전화 종합복지관 앞 교차로
1401,극동늘푸른아파트
1402,금란주차장 앞
1403,중화빌딩 앞 (동부시장)
1404,동일로 지하차도
1405,망우역 1번출구
1406,망우청소년수련관
1407,먹골역 1번출구 뒤
1408,먹골역 6번출구 앞
1410,면목 대원칸타빌아파트
1411,상봉시장앞 교차로 한성빌딩 앞
1412,면목초등학교
1413,봉화산역 5번출구 뒤
1414,사가정역 1번출구
1416,상봉역 3번출구
1418,새솔초등학교
1420,신내어울공원 앞
1421,신내역 4번출구
1422,신내우디안아파트 1단지
1424,양원역 2번출구
1425,용마문화복지센터
1426,면목도시개발아파트 1동 앞
1427,용마산역 1번출구
1428,원묵고등학교
1429,장안중학교
1430,중랑구청
1431,중랑구청 사거리
1433,중화역 2번출구
1434,홈플러스 면목동점
1435,능산삼거리
1436,영풍마드레빌
1437,늘푸른공원 앞
1438,홈플러스 신내점 앞
1440,하나은행 면목지점
1441,신내능말공원
1442,(구)신한은행 중랑교지점
1443,구립망우청소년독서실
1444,면목4치안센터
1445,용마지구대
1446,중랑전화국 교차로
1447,면목역 3번출구
1448,코스트코 상봉점
1449,상봉역 1번출구
1450,화랑대역 7번출구
1451,중랑세무서
1452,겸재교 진입부
1453,중랑캠핑숲
1454,한국전력공사(동대문 중랑지사)
1455,상봉역 2번 출구
1456,상아빌딩(우림시장 교차로)
1457,동원사거리
1458,상봉터미널2
1459,용마한신아파트사거리
1501,"미아역 3번,4번 출구 사이"
1503,이디야 커피 수유역점 앞
1504,다이소 삼양시장점
1506,강북문화예술회관
1509,서울북부수도사업소
1510,번동주공5단지 관리사무소 앞
1511,번동 금호어울림아파트102동앞
1512,강북중학교 앞
1513,강북구청 뒷편
1514,강북구청 사거리 버스정류소 앞
1515,송천동 주민센터
1516,우이초등학교 후문 옆
1518,SK telecom(수유직영점) 앞
1519,세븐일레븐 수유장미원점 앞
1520,성실교회
1522,월드전기조명인테리어(우이동)
1525,미아동 복합청사
1526,수유동 채선당앞
1527,미아역 1번 출구 뒤
1528,삼각산동 주민센터
1529,미아동 한국전력공사
1530,광산사거리
1531,미아사거리 1번 출구
1532,번3동 주민센터 교차로
1533,"번동 주공3, 4단지 교차로"
1534,북서울 꿈의 숲 동문
1535,효성인텔리안 앞
1536,번동 두산위브 101동 옆
1537,북한산 우이역
1538,솔밭공원역
1539,419민주묘지역
1540,가오리역
1541,삼양역
1542,삼양사거리역
1543,수유1동 주민센터
1545,솔샘역 2번 출구
1546,송천동우체국
1547,꿈의숲 롯데캐슬
1548,북서울 꿈의숲 서문
1601,석계역 문화광장 내 자전거 보관소
1602,광운대역 앞
1603,롯데캐슬 102동 코너(월계주유소건너)
1605,헬스케어
1606,태릉입구역 3번출구
1608,공릉역 1번 출구 앞
1610,화랑대역 2번출구 앞
1611,과기대 입구(우)
1616,하계2동 공항버스정류장 옆
1617,하계동 중평어린이공원 앞
1619,중계동 하나프라자빌딩 앞(중1-1)
1620,중계동 노원구민체육센터 옆(중1-2)
1623,노원 구민회관
1625,상계역(4번출구)
1627,수락산역 4번출구
1628,노일초등학교 앞
1630,수연빌딩 앞
1634,당고개공원 대여소
1635,상계34동 주민센터 대여소
1636,백병원 사거리 농협은행 앞
1637,KT 노원점 건물 앞
1639,희성오피앙
1640,한내근린공원 북측
1641,한내근린공원 남측
1642,서울여대 남문
